"Nom","Pays","Region","Type","Periodicite","Langue","ID","Description","Website","CodeSource","DebutArchives","FinArchives"
"01 net (1 sources)","France","Ile-de-France","Presse","Mensuel ou bimensuel","Français","14185","Created in 1998, 01 net is intended for the general public. It uses easy-to-understand, popular terminology. It simplifies new technologies and makes them accessible to everybody through their educational, consumer-based, playful approach.","http://www.01net.com/","UK","10/01/2005","07/03/2013"
"01 net - Hors-série (1 sources)","France","Ile-de-France","Presse","Bimestriel ou trimestriel","Français","14241","Supplement of 01 net magazine. This bimonthly publication contains updated on the latest technology news and how to use them to their full potential.","http://www.kiosque01.fr/","UKA","01/04/2014","01/04/2014"
"10 Sport, Le (site web réf.) (1 sources)","France","","Presse","Irrégulier","Français","65760",NA,"https://le10sport.com/","WGADQ","30/05/2024",NA
"100 Mile House Free Press (South Cariboo, BC) (1 sources)","Canada","Colombie-Britannique","Presse","Hebdomadaire","Anglais","46392","100 Mile House Free Press has been covering the people and communities of the South Cariboo since 1968. With a weekly circulation of 5,943 papers (2017), the Free Press serves a vast area that stretches from Lac la Hache in the north to Clinton in the south, and as far east as Lac des Roches.","http://www.100milefreepress.net/","UAE","22/08/2019","22/08/2019"
"100 Mile House Free Press (South Cariboo, BC) (web site) (1 sources)","Canada","Colombie-Britannique","Presse","En continu","Anglais","2211","Web site of The 100 Mile House Free Press. It has been covering the people and communities of the South Cariboo since 1968. With a weekly circulation of 5,943 papers (2017), the Free Press serves a vast area that stretches from Lac la Hache in the north to Clinton in the south, and as far east as Lac des Roches.","http://www.100milefreepress.net/","PAA","09/04/2008",NA
"102,9 Rewind Radio (Cranbrook, BC) (web site ref.) (1 sources)","Canada","Colombie-Britannique","Presse","En continu","Anglais","39428","Website of Canadian radio station in Cranbrook, British Columbia that broadcasts an active rock format at 102.9 FM.","https://1029rewindradio.ca/","WAACJ","24/04/2024",NA
"103,1 FM (Saint-Léon-le-Grand, QC) (site web réf.) (1 sources)","Canada","Québec","Presse","En continu","Français","37658","103.1 FM, the Maskinongé MRC radio station is a local broadcasting service with local news, opinions, sports etc.","https://www.countrypop1031.com/nouvelles","WAAAK","24/04/2024",NA
"105,7 Rythme FM (Laval, QC) (web site ref.) (1 sources)","Canada","Québec","Presse","Irrégulier","Anglais","36603","Web site of 105,7 Rythme FM, a French-language Canadian radio station located in Laval and owned by Attraction Radio.","http://montreal.rythmefm.com/","WAAAM","24/04/2024",NA
"107,7 FM Estrie (Sherbrooke, QC) (site web réf.) (1 sources)","Canada","Québec","Presse","En continu","Français","36132","Sherbrooke local radio station, broadcasting in French, part of the Cogeco network.","http://www.fm1077.ca/","WAAAI","24/04/2024",NA
"12 News (Phoenix, AZ) (web site ref.) (1 sources)","États-Unis","Arizona","Presse","En continu","Anglais","39752",NA,"https://www.12news.com/","WAACN","24/04/2024",NA
"1854 Photography (web site ref.) (1 sources)","Royaume-Uni","Grand Londres","Presse","En continu","Anglais","9473",NA,"https://www.1854.photography/","IBRJ","24/04/2024",NA
"18h, Le (site web) (1 sources)","France","","Presse","En continu","Français","1507","18h.com is the highlights of the economic news of the day, selected and scrutinized by its editorial staff. It is divided in four headings: Economics, Enterprises, High-Tech and Stock Exchange.","http://lexpansion.lexpress.fr/","EY","04/01/2006",NA
"2 Rives, Les (Sorel-Tracy, QC) (1 sources)","Canada","Québec","Presse","Hebdomadaire","Français","15065","Weekly newspaper serving Sorel-Tracy area in Quebec. Les 2 Rives that provides an accurate image of its community is often the best and sometimes the only source of local news.","https://www.les2rives.com/","QAA","09/04/2013","03/06/2014"
"2 Rives, Les (Sorel-Tracy, QC) (site web) (1 sources)","Canada","Québec","Presse","En continu","Français","15635","Website serving Sorel-Tracy area in Quebec. Les 2 Rives that provides an accurate image of its community is often the best and sometimes the only source of local news. Incomplete archives between 2004 and 2013","https://www.les2rives.com/","WQAA","06/01/2004",NA
"2.5G-5G (1 sources)","États-Unis","Massachusetts","Presse","Mensuel ou bimensuel","Anglais","31486","Covers cellular mobile radio technology, markets, applications, services, standards, regulations, products, business developments.","http://www.igigroup.com/nl.html","GXAAA","01/01/2015",NA
"20 Minutes (1 sources)","France","Ile-de-France","Presse","Bihebdomadaire ou trihebdomadaire","Français","4330","20 minutes is a free newspaper created in 1999 and published in several European countries. It's covering general news and current affairs including society, politics, economics, environment, culture, sports, entertainment, celebrity, sports, technology and multimedia.","https://www.20minutes.fr/","VIM","28/09/2011","16/12/2020"
"20 Minutes (site web) (1 sources)","France","Ile-de-France","Presse","En continu","Français","21307","20 minutes is a free daily newspaper created in 1999 and published in several European countries.","http://www.20minutes.fr/","VIW","30/01/2006",NA
"20 Minutos (1 sources)","Espagne","","Presse","Quotidien","Espagnol","64266","This source requires a subscription. Full-text content is available for 45 days. After this date, only the title is visible.","http://www.20minutos.es/","FARO","07/01/2014",NA
"23andMe Blog, The (blog ref.) (1 sources)","États-Unis","Californie","Médias sociaux","Irrégulier","Anglais","36607",NA,"http://blog.23andme.com/","WAAAQ","24/04/2024",NA
"24 Heures (Suisse) (1 sources)","Suisse","","Presse","Quotidien","Français","1061","The Vaudois region daily 24 heures publishes four special issues in the four major regions in the county of Vaud: Riviera/Chablais issue, Nord vaudois/Broye issue, Région la Côte issue and Lausanne et région issue. The first issue focuses on Switzerland, the economy, the world and culture. It also has an entertainment page called ""Planète"" and a section on regional sports. The second is primarily written by regional authors with five to six pages of local information and one page covering the main news from other regions, followed by two or three pages of general interest articles on county policies, key Lausanne and Vaud news, miscellaneous facts, reports, society, etc. The Services section contains TV articles, weather, events and practical advice.","http://www.24heures.ch/","WV","07/07/2005","12/06/2007"
"24 heures Montréal (1 sources)","Canada","Québec","Presse","Hebdomadaire","Français","8441","24 heures Montréal was a free daily newspaper published in Montreal by Quebecor Media. As of February 2, 2021, it published only on Thursdays in the Greater Montreal area. It covers news and current affairs, society, the environment, politics, health, education, consumer affairs, entertainment and lifestyle. This source is subject to restrictions.","https://www.24heures.ca/","QVHM","04/04/2012",NA
"24 heures Montréal (site web réf.) (1 sources)","Canada","Québec","Presse","En continu","Français","8972","Website related to the 24 heures Montreal Newspaper. 24 heures Montréal was a free daily newspaper published in Montreal by Quebecor Media. As of February 2, 2021, it published only on Thursdays in the Greater Montreal area. It covers news and current affairs, society, the environment, politics, health, education, consumer affairs, entertainment and lifestyle.","https://www.24heures.ca/","VQM","24/04/2024",NA
"24 Horas (Chile) (sitio web ref.) (1 sources)","Chili","","Presse","En continu","Espagnol","5558",NA,"http://www.24horas.cl/","IVEI","24/04/2024",NA
"24 x 7 News (Bahrain) (web site ref.) (1 sources)","Bahreïn","","Presse","Irrégulier","Anglais","44774","24X7 News Bahrain is a web site in Manama, Bahrain. Launched in January 2011, 24X7 is a source of news and information. The web site focuses on business, politics, banking and finance news and information affecting Bahrain.","http://twentyfoursevennews.com/","WAADF","24/04/2024",NA
"24/7 Wall St. (web site ref.) (1 sources)","États-Unis","New York","Presse","En continu","Anglais","4153",NA,"http://247wallst.com/","TTW","24/04/2024",NA
"24x7 (1 sources)","États-Unis","Kansas","Presse","Mensuel ou bimensuel","Anglais","31491","A publication for professionals involved in the maintenance and repair of medical, computer and telecommunications technology within a healthcare facility.","http://www.24x7mag.com/","GYAAE","01/01/2015",NA
"3 Down Nation (web site ref.) (1 sources)","Canada","","Presse","Irrégulier","Anglais","36609","3DownNation is a team of journalists and bloggers providing a perspective on Canadian Football League team and the entire league. It covers the big stories around the CFL.","http://3downnation.com/","WAAAS","24/04/2024",NA
"40-Mile County Commentator, The (AB) (1 sources)","Canada","Alberta","Presse","Hebdomadaire","Anglais","197","The Commentator is a community newspaper published every Tuesday. With a paid, weekly circulation of 5,692 copies (2017), The Commentator serves the County of Forty Mile, Cypress County, the Town of Redcliff, the communities of Bow Island, Burdett, and Foremost and the many hamlets in southeastern Alberta. The 40-Mile County Commentator strives to present an accurate and interesting reflection of community affairs and a forum for public opinion. Market surveys have show high readership levels, as local residents tend to take an avid interest in the affairs of the community.","http://www.bowislandcommentator.com/","BI","02/04/2019","02/04/2019"
"45e Nord (site web réf.) (1 sources)","Canada","Québec","Presse","En continu","Français","10041","Independant news website covering the Canadian Armed forces, the canadian units of the UN Peacekeepers and the areas where they are deployed - in French. The site also covers canadian and foreign policies affecting army operations and command, as well as military colleges and army cadets.","http://www.45enord.ca/","IQUA","24/04/2024",NA
"4D International Journal of Management and Science (1 sources)","Inde","","Presse","Semestriel","Anglais","29821","Provide forums for academicians and practitioners who are interested in the discussion of issues and challenges impacting the the globe as well as disseminating research in the field of management in the American and Indian region as well as globally.","http://4dinternationaljournal.com/","GAAZZ","01/07/2015",NA
"4oito (site ref.) (1 sources)","Brésil","","Presse","En continu","Portugais","5262",NA,"https://www.4oito.com.br/","ITRU","24/04/2024",NA
"60 millions de consommateurs (site web réf.) (1 sources)","France","","Presse","Irrégulier","Français","65366",NA,"https://www.60millions-mag.com/","WAALP","24/04/2024",NA
"604 NOW (Vancouver, BC) (web site ref.) (1 sources)","Canada","Colombie-Britannique","Presse","Irrégulier","Anglais","36611","604 Now is a metro Vancouver website dedicated to showcasing local happenings, events, food + drink and culture.","http://604now.com/","WAAAU","24/04/2024",NA
"78actu (site web réf.) (1 sources)","France","Ile-de-France","Presse","En continu","Français","39429","All the news of Yvelines: Local news, economy, leisure, culture, sport, politics.","https://actu.fr/78actu/","WAACK","24/04/2024",NA
"93,1 Moose FM (Timmins, ON) (web site ref.) (1 sources)","Canada","Ontario","Presse","Irrégulier","Anglais","36615","Website of 93.1 Moose. It is an English-language Canadian radio station located in Timmins, Ontario.","https://www.mytimminsnow.com/","WAAAY","24/04/2024",NA
"93,7 Rythme FM (Sherbrooke, QC) (site web réf.) (1 sources)","Canada","Québec","Presse","Irrégulier","Français","36614","Website of 93,7 Rythme FM, a French-language Canadian radio station located in Sherbrooke and owned by Attraction Radio.","https://estrie.rythmefm.com/","WAAAX","24/04/2024",NA
"94 Citoyens (site web réf.) (1 sources)","France","Ile-de-France","Presse","Irrégulier","Français","39430","Daily website with general informations on Val de Marne and eastern Paris","http://94.citoyens.com/","WAACL","24/04/2024",NA
"961 News, The (web site) (1 sources)","Liban","","Presse","Quotidien","Anglais","64782","This source requires a subscription. Full-text content is available for 45 days. After this date, only the title is visible.","https://www.the961.com/news","FBBD","25/05/2021",NA
"98,5 FM (Montréal, QC) (site web réf.) (1 sources)","Canada","Québec","Presse","En continu","Français","4141","98,5 FM is a French language Canadian radio station located in Montreal, Quebec. Owned and operated by Cogeco, it broadcasts on 98.5 FM.","http://www.985fm.ca/","TCO","24/04/2024",NA
"98,5 Virgin Radio (Calgary, AB) (web site ref.) (1 sources)","Canada","Alberta","Presse","Irrégulier","Anglais","36620","Website of private radio station in the Bell media network, broadcasting from Calgary, AB.","https://www.iheartradio.ca/virginradio/calgary/news","WAABD","24/04/2024",NA
"99 Scenes (site web réf.) (1 sources)","Canada","","Presse","Irrégulier","Français","36622","99scenes.com is a site devoted to alternative music. Founded in 2013, it offers coverage of music festivals with rumors, interviews and critics.","http://99scenes.com/","WAABF","24/04/2024",NA
"A Pretty Life (blog ref.) (1 sources)","Canada","Alberta","Médias sociaux","Irrégulier","Anglais","36624","Blog from Jo-Anna, lifestyle and food canadian blogger.","http://www.aprettylifeinthesuburbs.com/","WAABH","24/04/2024",NA
"A Semana (Cabo Verde) (web site ref.) (1 sources)","Cap-Vert","","Presse","Irrégulier","Anglais","44775",NA,"http://www.asemana.publ.cv/","WAADG","24/04/2024",NA
"A.M. Best Newswire (1 sources)","États-Unis","","Presse","Quotidien","Anglais","29633","Provides comprehensive, quality data for insurance professionals and covers quantitative and qualitative evaluations of insurance companies.",NA,"GAAAA","03/01/2017",NA
"AAAS (web site ref.) (1 sources)","États-Unis","District de Columbia","Presse","En continu","Anglais","28619","AAAS, the American Association for the Advancement of Science.","http://www.aaas.org/","MAAA","24/04/2024",NA
"Aachener Zeitung (1 sources)","Allemagne","","Presse","Quotidien","Allemand","55312","This source requires a subscription.","https://www.aachener-zeitung.de/","LUAB","20/06/2019",NA
"Aachener Zeitung (Germany) (1 sources)","Allemagne","","Presse","Quotidien","Allemand","63360","This source requires a subscription. Full-text content is available for 45 days. After this date, only the title is visible.","https://www.aachener-zeitung.de/","FACK","21/04/2010",NA
"Aamulehti (verkkosivu viit.) (1 sources)","Finlande","","Presse","En continu","Finnois","9672",NA,"http://www.aamulehti.fi/","IAAM","24/04/2024",NA
"AAP Australian Associated Press (web site ref.) (1 sources)","Australie","","Presse","Irrégulier","Anglais","44776","Delivery tool for media releases. It channels directly into the editorial systems that journalists use to source news and information.","http://aap.com.au/","WAADH","24/04/2024",NA
